,id_player,player_name,nationality,field_position,position,weight(kg),height(cm),age,id_team,player_image
662,250135607,Conor Bradley,Northern Ireland,Defender,,,,21,7889,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250135607.jpg
663,250182794,Francesco Camarda,Italy,Forward,UNKNOWN,,,16,50058,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250182794.jpg
664,250200307,Luke McCowan,Scotland,Midfielder,,,,26,50050,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250200307.jpg
665,250081720,Dani Olmo,Spain,Forward,WINGER,68.0,176.0,26,50080,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250081720.jpg
666,250139101,Artur Gajdoš,Slovakia,Midfielder,UNKNOWN,,,20,52797,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250139101.jpg
667,250159294,Cole Campbell,Iceland,Midfielder,UNKNOWN,,,18,52758,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250159294.jpg
668,250170137,Assan Ouedraogo,Germany,Midfielder,,,,18,2603790,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250170137.jpg
669,250169763,Isaac Babadi,Netherlands,Midfielder,UNKNOWN,,,19,50062,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250169763.jpg
670,250161761,Jeanuël Belocian,France,Defender,UNKNOWN,,,19,50109,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250161761.jpg
671,250199913,Min-su Kim,Korea Republic,Forward,,,,18,2602798,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250199913.jpg
